date_heure,consommation
2024-04-13 01:15:00+00:00,5260.0
2024-04-13 01:30:00+00:00,5145.0
2024-04-13 01:45:00+00:00,5083.0
2024-04-13 02:00:00+00:00,5067.0
2024-04-13 02:15:00+00:00,5050.0
2024-04-13 02:30:00+00:00,5044.0
2024-04-13 02:45:00+00:00,4957.0
2024-04-13 03:00:00+00:00,5042.0
2024-04-13 03:15:00+00:00,4965.0
2024-04-13 03:30:00+00:00,5079.0
2024-04-13 03:45:00+00:00,5106.0
2024-04-13 04:00:00+00:00,5113.0
2024-04-13 04:15:00+00:00,5254.0
2024-04-13 04:30:00+00:00,5272.0
2024-04-13 04:45:00+00:00,5267.0
2024-04-13 05:00:00+00:00,5215.0
2024-04-13 05:15:00+00:00,5299.0
2024-04-13 05:30:00+00:00,5322.0
2024-04-13 05:45:00+00:00,5368.0
2024-04-13 06:00:00+00:00,5519.0
2024-04-13 06:15:00+00:00,5601.0
2024-04-13 06:30:00+00:00,5611.0
2024-04-13 06:45:00+00:00,5624.0
2024-04-13 07:00:00+00:00,5656.0
2024-04-13 07:15:00+00:00,5772.0
2024-04-13 07:30:00+00:00,5745.0
2024-04-13 07:45:00+00:00,5777.0
2024-04-13 08:00:00+00:00,5994.0
2024-04-13 08:15:00+00:00,6099.0
2024-04-13 08:30:00+00:00,6103.0
2024-04-13 08:45:00+00:00,6161.0
2024-04-13 09:00:00+00:00,6189.0
2024-04-13 09:15:00+00:00,6132.0
2024-04-13 09:30:00+00:00,6169.0
2024-04-13 09:45:00+00:00,6250.0
2024-04-13 10:00:00+00:00,6229.0
2024-04-13 10:15:00+00:00,6250.0
2024-04-13 10:30:00+00:00,6298.0
2024-04-13 10:45:00+00:00,6450.0
2024-04-13 11:00:00+00:00,6372.0
2024-04-13 11:15:00+00:00,6332.0
2024-04-13 11:30:00+00:00,6126.0
2024-04-13 11:45:00+00:00,6033.0
2024-04-13 12:00:00+00:00,5963.0
2024-04-13 12:15:00+00:00,5999.0
2024-04-13 12:30:00+00:00,5881.0
2024-04-13 12:45:00+00:00,5883.0
2024-04-13 13:00:00+00:00,5882.0
2024-04-13 13:15:00+00:00,5874.0
2024-04-13 13:30:00+00:00,5762.0
2024-04-13 13:45:00+00:00,5712.0
2024-04-13 14:00:00+00:00,5726.0
2024-04-13 14:15:00+00:00,5616.0
2024-04-13 14:30:00+00:00,5659.0
2024-04-13 14:45:00+00:00,5514.0
2024-04-13 15:00:00+00:00,5570.0
2024-04-13 15:15:00+00:00,5620.0
2024-04-13 15:30:00+00:00,5517.0
2024-04-13 15:45:00+00:00,5483.0
2024-04-13 16:00:00+00:00,5467.0
2024-04-13 16:15:00+00:00,5413.0
2024-04-13 16:30:00+00:00,5381.0
2024-04-13 16:45:00+00:00,5473.0
2024-04-13 17:00:00+00:00,5601.0
2024-04-13 17:15:00+00:00,5505.0
2024-04-13 17:30:00+00:00,5608.0
2024-04-13 17:45:00+00:00,5488.0
2024-04-13 18:00:00+00:00,5426.0
2024-04-13 18:15:00+00:00,5455.0
2024-04-13 18:30:00+00:00,5474.0
2024-04-13 18:45:00+00:00,5644.0
2024-04-13 19:00:00+00:00,5574.0
2024-04-13 19:15:00+00:00,5596.0
2024-04-13 19:30:00+00:00,5468.0
2024-04-13 19:45:00+00:00,5398.0
2024-04-13 20:00:00+00:00,5342.0
2024-04-13 20:15:00+00:00,5575.0
2024-04-13 20:30:00+00:00,5500.0
2024-04-13 20:45:00+00:00,5648.0
2024-04-13 21:00:00+00:00,5591.0
2024-04-13 21:15:00+00:00,5815.0
2024-04-13 21:30:00+00:00,5589.0
2024-04-13 21:45:00+00:00,5473.0
2024-04-13 22:00:00+00:00,5373.0
2024-04-13 22:15:00+00:00,5311.0
2024-04-13 22:30:00+00:00,5221.0
2024-04-13 22:45:00+00:00,5119.0
2024-04-13 23:00:00+00:00,5051.0
2024-04-13 23:15:00+00:00,5086.0
2024-04-13 23:30:00+00:00,4941.0
2024-04-13 23:45:00+00:00,4991.0
2024-04-14 00:00:00+00:00,4952.0
2024-04-14 00:15:00+00:00,5111.0
2024-04-14 00:30:00+00:00,4958.0
2024-04-14 00:45:00+00:00,4913.0
2024-04-14 01:00:00+00:00,4824.0
2024-04-14 01:15:00+00:00,4838.0
2024-04-14 01:30:00+00:00,4708.0
2024-04-14 01:45:00+00:00,4678.0
2024-04-14 02:00:00+00:00,4577.0
2024-04-14 02:15:00+00:00,4608.0
2024-04-14 02:30:00+00:00,4559.0
2024-04-14 02:45:00+00:00,4485.0
2024-04-14 03:00:00+00:00,4528.0
2024-04-14 03:15:00+00:00,4601.0
2024-04-14 03:30:00+00:00,4547.0
2024-04-14 03:45:00+00:00,4620.0
2024-04-14 04:00:00+00:00,4559.0
2024-04-14 04:15:00+00:00,4656.0
2024-04-14 04:30:00+00:00,4624.0
2024-04-14 04:45:00+00:00,4574.0
2024-04-14 05:00:00+00:00,4596.0
2024-04-14 05:15:00+00:00,4732.0
2024-04-14 05:30:00+00:00,4809.0
2024-04-14 05:45:00+00:00,4831.0
2024-04-14 06:00:00+00:00,4798.0
2024-04-14 06:15:00+00:00,4876.0
2024-04-14 06:30:00+00:00,5004.0
2024-04-14 06:45:00+00:00,5051.0
2024-04-14 07:00:00+00:00,5082.0
2024-04-14 07:15:00+00:00,5203.0
2024-04-14 07:30:00+00:00,5249.0
2024-04-14 07:45:00+00:00,5357.0
2024-04-14 08:00:00+00:00,5610.0
2024-04-14 08:15:00+00:00,5658.0
2024-04-14 08:30:00+00:00,5653.0
2024-04-14 08:45:00+00:00,5716.0
2024-04-14 09:00:00+00:00,5841.0
2024-04-14 09:15:00+00:00,5847.0
2024-04-14 09:30:00+00:00,5962.0
2024-04-14 09:45:00+00:00,6020.0
2024-04-14 10:00:00+00:00,5982.0
2024-04-14 10:15:00+00:00,6042.0
2024-04-14 10:30:00+00:00,5984.0
2024-04-14 10:45:00+00:00,6088.0
2024-04-14 11:00:00+00:00,5958.0
2024-04-14 11:15:00+00:00,6026.0
2024-04-14 11:30:00+00:00,5833.0
2024-04-14 11:45:00+00:00,5789.0
